Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
14032018T020501,63656674155190.00,1,4,target5,9,0.85,3,FALSE,FALSE,TRUE,22575
14032018T020502,63656674188716.00,1,5,target7,9,0.85,3,FALSE,FALSE,TRUE,33526
14032018T020503,63656674211600.00,1,6,target3,9,0.85,3,FALSE,FALSE,TRUE,22884
14032018T020504,63656674232289.00,1,7,target0,9,0.85,3,FALSE,FALSE,TRUE,20689
14032018T020505,63656674234593.00,1,8,target4,9,0.85,3,FALSE,FALSE,TRUE,2304
14032018T020505,63656674234609.00,2,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,16
14032018T020506,63656674260432.00,2,0,target1,9,0.85,3,FALSE,FALSE,TRUE,25823
14032018T020507,63656674327652.00,2,1,target8,9,0.85,3,FALSE,FALSE,TRUE,67220
14032018T020508,63656674342828.00,2,2,target7,9,0.85,3,FALSE,FALSE,TRUE,15176
14032018T020509,63656674368697.00,2,3,target2,9,0.85,3,FALSE,FALSE,TRUE,25869
14032018T020510,63656674396845.00,2,4,target3,9,0.85,3,FALSE,FALSE,TRUE,28148
14032018T020510,63656674420267.00,2,5,target5,9,0.85,3,FALSE,FALSE,TRUE,23422
14032018T020511,63656674450516.00,2,6,target0,9,0.85,3,FALSE,FALSE,TRUE,30249
14032018T020513,63656674480974.00,2,7,target6,9,0.85,3,FALSE,FALSE,TRUE,30458
14032018T020514,63656674514083.00,2,8,target4,9,0.85,3,FALSE,FALSE,TRUE,33109
14032018T020514,63656674514097.00,3,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,14
14032018T020514,63656674526831.00,3,0,target4,9,0.85,3,FALSE,FALSE,TRUE,12734
14032018T020515,63656674574770.00,3,1,target8,9,0.85,3,FALSE,FALSE,TRUE,47939
14032018T020516,63656674590561.00,3,2,target2,9,0.85,3,FALSE,FALSE,TRUE,15791
14032018T020517,63656674626821.00,3,3,target0,9,0.85,3,FALSE,FALSE,TRUE,36260
14032018T020518,63656674641558.00,3,4,target3,9,0.85,3,FALSE,FALSE,TRUE,14737
14032018T020520,63656674680770.00,3,5,target6,9,0.85,3,FALSE,FALSE,TRUE,39212
14032018T020520,63656674728662.00,3,6,target7,9,0.85,3,FALSE,FALSE,TRUE,47892
14032018T020521,63656674734054.00,3,7,target5,9,0.85,3,FALSE,FALSE,TRUE,5392
14032018T020522,63656674756781.00,3,8,target1,9,0.85,3,FALSE,FALSE,TRUE,22727
14032018T020522,63656674756795.00,4,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,14
14032018T020522,63656674766725.00,4,0,target0,9,0.85,3,FALSE,FALSE,TRUE,9930
14032018T020524,63656674774991.00,4,1,target5,9,0.85,3,FALSE,FALSE,TRUE,8266
14032018T020525,63656674820329.00,4,2,target8,9,0.85,3,FALSE,FALSE,TRUE,45338
14032018T020525,63656674873554.00,4,3,target7,9,0.85,3,FALSE,FALSE,TRUE,53225
14032018T020527,63656674884474.00,4,4,target1,9,0.85,3,FALSE,FALSE,TRUE,10920
14032018T020528,63656674897110.00,4,5,target6,9,0.85,3,FALSE,FALSE,TRUE,12636
14032018T020528,63656674927813.00,4,6,target3,9,0.85,3,FALSE,FALSE,TRUE,30703
14032018T020529,63656674930818.00,4,7,target4,9,0.85,3,FALSE,FALSE,TRUE,3005
14032018T020531,63656674943374.00,4,8,target2,9,0.85,3,FALSE,FALSE,TRUE,12556
