Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
26032018T191237,6.36577E+13,3,0,target6,9,0.85,3,FALSE,TRUE,TRUE,906
26032018T191246,6.36577E+13,3,1,target2,9,0.85,3,FALSE,TRUE,TRUE,9081
26032018T191253,6.36577E+13,3,2,target1,9,0.85,3,FALSE,TRUE,TRUE,7254
26032018T191300,6.36577E+13,3,3,target8,9,0.85,3,FALSE,TRUE,TRUE,6914
26032018T191309,6.36577E+13,3,4,target3,9,0.85,3,FALSE,TRUE,TRUE,8749
26032018T191320,6.36577E+13,3,5,target0,9,0.85,3,FALSE,TRUE,TRUE,11070
26032018T191326,6.36577E+13,3,6,target5,9,0.85,3,FALSE,TRUE,TRUE,5996
26032018T191333,6.36577E+13,3,7,target7,9,0.85,3,FALSE,TRUE,TRUE,6709
26032018T191341,6.36577E+13,3,8,target4,9,0.85,3,FALSE,TRUE,TRUE,8456
26032018T191341,6.36577E+13,4,-1,-1,9,0.85,3,FALSE,TRUE,TRUE,14
26032018T191401,6.36577E+13,4,0,target7,9,0.85,3,FALSE,TRUE,TRUE,19975
26032018T191412,6.36577E+13,4,1,target3,9,0.85,3,FALSE,TRUE,TRUE,10642
26032018T191412,6.36577E+13,4,2,target6,9,0.85,3,FALSE,TRUE,TRUE,594
26032018T191424,6.36577E+13,4,3,target0,9,0.85,3,FALSE,TRUE,TRUE,11978
26032018T191424,6.36577E+13,4,4,target1,9,0.85,3,FALSE,TRUE,TRUE,265
26032018T191438,6.36577E+13,4,5,target4,9,0.85,3,FALSE,TRUE,TRUE,13299
26032018T191447,6.36577E+13,4,6,target2,9,0.85,3,FALSE,TRUE,TRUE,9611
26032018T191452,6.36577E+13,4,7,target5,9,0.85,3,FALSE,TRUE,TRUE,4787
26032018T191501,6.36577E+13,4,8,target8,9,0.85,3,FALSE,TRUE,TRUE,8346
26032018T191501,6.36577E+13,5,-1,-1,9,0.85,3,FALSE,TRUE,TRUE,15
26032018T191501,6.36577E+13,5,0,target8,9,0.85,3,FALSE,TRUE,TRUE,263
26032018T191508,6.36577E+13,5,1,target2,9,0.85,3,FALSE,TRUE,TRUE,7327
26032018T191517,6.36577E+13,5,2,target1,9,0.85,3,FALSE,TRUE,TRUE,9104
26032018T191527,6.36577E+13,5,3,target4,9,0.85,3,FALSE,TRUE,TRUE,9661
26032018T191530,6.36577E+13,5,4,target6,9,0.85,3,FALSE,TRUE,TRUE,2759
26032018T191536,6.36577E+13,5,5,target3,9,0.85,3,FALSE,TRUE,TRUE,6473
26032018T191542,6.36577E+13,5,6,target7,9,0.85,3,FALSE,TRUE,TRUE,5840
26032018T191546,6.36577E+13,5,7,target0,9,0.85,3,FALSE,TRUE,TRUE,3699
26032018T191549,6.36577E+13,5,8,target5,9,0.85,3,FALSE,TRUE,TRUE,3403
26032018T191549,6.36577E+13,1,-1,-1,9,0.85,4,FALSE,FALSE,FALSE,
26032018T191550,6.36577E+13,1,0,target5,9,0.85,4,FALSE,FALSE,FALSE,610
26032018T191601,6.36577E+13,1,1,target3,9,0.85,4,FALSE,FALSE,FALSE,566
26032018T191601,6.36577E+13,1,2,target2,9,0.85,4,FALSE,FALSE,FALSE,680
26032018T191611,6.36577E+13,1,3,target6,9,0.85,4,FALSE,FALSE,FALSE,859
26032018T191629,6.36577E+13,1,4,target8,9,0.85,4,FALSE,FALSE,FALSE,547
26032018T191635,6.36577E+13,1,5,target1,9,0.85,4,FALSE,FALSE,FALSE,553
26032018T191638,6.36577E+13,1,6,target0,9,0.85,4,FALSE,FALSE,FALSE,643
26032018T191639,6.36577E+13,1,7,target7,9,0.85,4,FALSE,FALSE,FALSE,486
26032018T191643,6.36577E+13,1,8,target4,9,0.85,4,FALSE,FALSE,FALSE,485
26032018T191643,6.36577E+13,2,-1,-1,9,0.85,4,FALSE,FALSE,FALSE,17
26032018T191649,6.36577E+13,2,0,target8,9,0.85,4,FALSE,FALSE,FALSE,711
26032018T191657,6.36577E+13,2,1,target1,9,0.85,4,FALSE,FALSE,FALSE,982
26032018T191708,6.36577E+13,2,2,target7,9,0.85,4,FALSE,FALSE,FALSE,580
26032018T191713,6.36577E+13,2,3,target4,9,0.85,4,FALSE,FALSE,FALSE,775
26032018T191723,6.36577E+13,2,4,target0,9,0.85,4,FALSE,FALSE,FALSE,733
26032018T191729,6.36577E+13,2,5,target2,9,0.85,4,FALSE,FALSE,FALSE,1412
26032018T191738,6.36577E+13,2,6,target6,9,0.85,4,FALSE,FALSE,FALSE,1616
26032018T191743,6.36577E+13,2,7,target5,9,0.85,4,FALSE,FALSE,FALSE,572
26032018T191749,6.36577E+13,2,8,target3,9,0.85,4,FALSE,FALSE,FALSE,612
26032018T191749,6.36577E+13,3,-1,-1,9,0.85,4,FALSE,FALSE,FALSE,14
26032018T191758,6.36577E+13,3,0,target7,9,0.85,4,FALSE,FALSE,FALSE,510
26032018T191802,6.36577E+13,3,1,target4,9,0.85,4,FALSE,FALSE,FALSE,626
26032018T191809,6.36577E+13,3,2,target5,9,0.85,4,FALSE,FALSE,FALSE,636
